,Course Name,Course Description,Score,Technical Skills,Soft Skills,Coding Skills
44,Mining Massive Data Sets,"Availability of massive datasets is revolutionizing science and industry. This course discusses data mining and machine learning algorithms for analyzing very large amounts of data. The focus is on algorithms and systems for mining big data. nTopics include: Big data systems (Hadoop, Spark, Hive); Link Analysis (PageRank, spam detection, hubs-and-authorities); Similarity search (locality-sensitive hashing, shingling, minhashing, random hyperplanes); Stream data processing; Analysis of social-network graphs; Association rules; Dimensionality reduction (UV, SVD, and CUR decompositions); Algorithms for very-large-scale mining (clustering, nearest-neighbor search); Large-scale machine learning (gradient descent, support-vector machines, classification, and regression); Submodular function optimization; Computational advertising. Prerequisites: At least one of CS107 or CS145.",0.8311698241966755,"['bigdata', 'algorithms', 'machinelearning', 'gradient', 'descent', 'bigdata', 'clustering', 'regression', 'algorithms']",[''],"['hadoop', 'spark', 'hive']"
98,Topics in Quantitative Finance: Big Data in Finance,"The vast proliferation of data and increasing technological complexities continue to transform the way industries operate and compete. Over the last two years, 90 percent of the data in the world has been created as a result of the creation of 2.5 quintillion bytes of data on a daily basis. Commonly referred to as big data, this rapid growth and storage creates opportunities for collection, processing and analysis of structured and unstructured data. Financial services, in particular, have widely adopted big data analytics to inform better investment decisions with consistent returns. In conjunction with big data, algorithmic trading uses vast historical data with complex mathematical models to maximize portfolio returns. The continued adoption of big data will inevitably transform the landscape of financial services. However, along with its apparent benefits, significant challenges remain in regards to big dataÂÃÂªs ability to capture the mounting volume of data. The increasing volume of market data poses a big challenge for financial institutions. Along with vast historical data, banking and capital markets need to actively manage ticker data. Likewise, investment banks and asset management firms use voluminous data to make sound investment decisions. Insurance and retirement firms can access past policy and claims information for active risk management. The course will be a mix of Theory and practice with real big data cases in finance. We will invite guest lecturers mostly for real Big Data Finance Applications. We will give MATLAB, R or Python examples.",0.602005922184836,"['bigdata', 'structured', 'unstructured', 'bigdata']",[''],"['python', 'r', 'matlab']"
100,Topics in Modern Statistics: Applied Machine Learning for Image Analysis,"Images are everywhere. How to deal with image data, especially with big data, is an urgent problem for data analysts.Ã¥Ã Machine learning has proven to be a powerful technology to process and analyze such big data.Ã¥Ã The course will discuss how machine learning methods are use in the field of image analysis, including biometrics (iris and face recognition), natural images (object identification/recognition), brain images (encoding and decoding), and handwritten digit recognition.Ã¥Ã Students will learn how to sue traditional machine learning methods in image data processing and analysis, and develop techniques to improve these methods.Ã¥Ã The aim of this course is to prepare students with basis knowledge and skills to explore opportunities using machine learning in the field of image analysis.",0.567222006974041,"['machinelearning', 'bigdata', 'machinelearning']",[''],['']
81,Introduction to Data Science,"Data Science is a dynamic and fast growing field at the interface of Statistics and Computer Science. The emergence of massive datasets containing millions or even billions of observations provides the primary impetus for the field. Such datasets arise, for instance, in large-scale retailing, telecommunications, astronomy, and internet social media. This course will emphasize practical techniques for working with large-scale data. Specific topics covered will include statistical modeling and machine learning, data pipelines, programming languages, ""big data"" tools, and real world topics and case studies. The use of statistical and data manipulation software will be required. Course intended for non-quantitative graduate-level disciplines. This course will not count towards degree requirements for graduate programs such as Statistics, Computer Science, or Data Science. Students should inquire with their respective programs to determine eligibility of course to count towards minimum degree requirements. This course does not fulfill any major requirements for undergraduate degree programs offered by Computer Science.",0.5368461836497481,"['statistics', 'machinelearning', 'bigdata', 'programming']",[''],['']
70,Advanced Machine Learning,"Advanced machine learning methods, with an undercurrent of natural language processing (NLP) applications. Bag of words, recommender systems, topic models, ranking, natural language as sequence data, POS tagging, CRFs for named entity recognition and RNNs for text synthesis. An introduction to popular NLP libraries in Python.",0.5271900430374283,"['naturallanguageprocessing', 'machinelearning']",[''],['python']
131,Fund. of Bus. Prog. ,"The ISTM 601 course provides an opportunity to build upon the introductory Python coding experience gained in the first semester (ISTM 615). Students will explore various publically available Python code libraries that are useful to data science (e.g., Pandas, NumPy, SciKit-Learn, Seaborn, etc.) and learn how to apply them in their analytics work. Other potential topics include web scraping and machine learning. Students will complete a data analysis project by writing Pyton code.",0.5116483150473388,['machinelearning'],[''],"['scikit-learn', 'python', 'numpy', 'pandas']"
47,Business Intelligence from Big Data,"The objective of this course is to analyze real-world situations where significant competitive advantage can be obtained through large-scale data analysis, with special attention to what can be done with the data and where the potential pitfalls lie. Students will be challenged to develop business-relevant questions and then solve for them by manipulating large data sets. Problems from advertising, eCommerce, finance, healthcare, marketing, and revenue management are presented. Students learn to apply software (such as R and SQL) to data sets to create knowledge that will inform decisions. The course covers fundamentals of statistical modeling, machine learning, and data-driven decision making. Students are expected to layer these topics over an existing facility with mathematical notation, algebra, calculus, probability, and basic statistics.",0.5109004709203859,"['machinelearning', 'statistics', 'probability']",[''],"['sql', 'r']"
116,Business Data Base Sys. ,"The primary objective of the course is to familiarize students with general database concepts, database design methodologies, and database implementation. In addition, the course introduces students to Hadoop as a distributed data storage technology used by companies to process large data sets and to Python as a computer coding language used to obtain data from social media.Topics:1. Introduction to relational databases and SQL2. How to retrieve data from two or more tables3. How to code summary queries4. How to insert, update, and delete data5. How to work with data types6. How to work with functions7. How to work with the views8. Introduction to coding and coding standards and Python9. Core objects, variables, input, and output in Python10. Structures that control flow in Python11. Functions in Python12.Processing data in Python13. Miscellaneous topics in Python",0.4724347911878541,['database'],[''],"['hadoop', 'python']"
11,Intro to Java & Python Programming,"The main objective of this course is to introduce students to the various capabilities of the Java & Python programming languages. In addition to this theme, students will be exposed to different techniques of software engineering (from the perspective of design and code organization) and broader programming principles, as well as the link(s) between data organization and algorithm implementation.",0.4641808652850466,['programming'],[''],"['python', 'java']"
122,Applied Analytics Using SAS Enterprise Guide ,"This course is an introduction to the general concepts and methodologies associated with Data Mining, Neural Networks, Machine Learning, and Analytics Modeling. Data Mining is the modeling and analysis of data, usually very large datasets, for decision making. Although several software packages used for Data Mining will be reviewed and compared, the primary concepts will be illustrated using SAS Enterprise Miner. Models discussed include neural networks; multiple and logistic regression; decision trees; and clustering algorithms.Topics:1. The data mining process2. Introduction to SAS Enterprise Miner3. Data collection, exploration and pre-processing4. Linear and logistic regression in Enterprise Miner5. High performance Enterprise Miner6. Comparing and evaluating big data models7. Machine Learning: Decision Trees8. Machine Learning: Random Forests9. Ensemble modeling10. Introduction to text analytics11. Document classification & sentiment analysis12. Topic analysis13. Machine Learning: Neural networks & Random Forests.",0.40023916065218884,"['machinelearning', 'modeling', 'datamining', 'randomforests', 'bigdata', 'ensemble', 'clustering', 'linear', 'regression', 'neuralnetworks']",[''],['sas']
46,Geostatistics,"Overview of some of the most important data science methods (statistics, machine learning & computer vision) relevant for geological sciences, as well as other fields in the Earth Sciences. Areas covered are: extreme value statistics for predicting rare events; compositional data analysis for geochemistry; multivariate analysis for designing data & computer experiments; probabilistic aggregation of evidence for spatial mapping; functional data analysis for multivariate environmental datasets, spatial regression and modeling spatial uncertainty with covariate information (geostatistics). Identification & learning of geo-objects with computer vision. Focus on practicality rather than theory. Matlab exercises on realistic data problems.Same as: GS 240",0.36725858212345236,"['machinelearning', 'regression', 'statistics']",[''],['matlab']
43,Convolutional Neural Networks for Visual Recognition,"Computer Vision has become ubiquitous in our society, with applications innsearch, image understanding, apps, mapping, medicine, drones, andnself-driving cars. Core to many of these applications are the tasks of image classification, localization and detection. This course is a deep dive into details of neural network architectures with a focus on learning end-to-end models for these tasks, particularly image classification. During the 10-week course, students will learn to implement, train and debug their own neural networks and gain a detailed understanding of cutting-edge research in computer vision. The final assignment will involve training a multi-million parameter convolutional neural network and applying it on the largest image classification dataset (ImageNet). We will focus on teaching how to set up the problem of image recognition, the learning algorithms (e.g. backpropagation), practical engineering tricks for training and fine-tuning the networks and guide the students through hands-on assignments and a final course project. Much of the background and materials of this course will be drawn from the ImageNet Challenge: http://image-net.org/challenges/LSVRC/2014/index. Prerequisites: Proficiency in Python; familiarity with C/C++; CS 131 and CS 229 or equivalents; Math 21 or equivalent, linear algebra.",0.35835205918146956,['algorithms'],[''],"['c/c++', 'python']"
33,Distributed Algorithms and Optimization,"The emergence of clusters of commodity machines with parallel processing units has brought with it a slew of new algorithms and tools. Many fields such as Machine Learning and Optimization have adapted their algorithms to handle such clusters. Topics include distributed and parallel algorithms for: Optimization, Numerical Linear Algebra, Machine Learning, Graph analysis, Streaming algorithms, and other problems that are challenging to scale on a commodity cluster. The class will focus on analyzing parallel and distributed programs, with some implementation using Apache Spark and TensorFlow.",0.3467529292885464,"['linearalgebra', 'machinelearning', 'algorithms']",[''],['spark']
94,NLP: Computational Models of Social Meaning,"This course is designed as an introduction to elements that constitutes the skill set of a data scientist. The course will focus on the utility of these elements in common tasks of a data scientist, rather than their theoretical formulation and properties. The course provides a foundation of basic theory and methodology with applied examples to analyze large engineering, business, and social data for data science problems. Hands-on experiments with R or Python will be emphasized.",0.3292068518785087,[''],[''],"['python', 'r']"
55,Data Visualization I,"The design and implementation of static figures across all phases of data analysis, from ingest and cleaning to description and inference. Plotting tools in R and Python.",0.3292068518785087,[''],[''],"['python', 'r']"
38,Representations and Algorithms for Computational Molecular Biology,"Topics: introduction to bioinformatics and computational biology, algorithms for alignment of biological sequences and structures, computing with strings, phylogenetic tree construction, hidden Markov models, basic structural computations on proteins, protein structure prediction, protein threading techniques, homology modeling, molecular dynamics and energy minimization, statistical analysis of 3D biological data, integration of data sources, knowledge representation and controlled terminologies for molecular biology, microarray analysis, machine learning (clustering and classification), and natural language text processing. Prerequisite: CS 106B; recommended: CS161; consent of instructor for 3 units.Same as: BIOMEDIN 214, CS 274, GENE 214",0.3208833785354514,"['machinelearning', 'algorithms', 'clustering']",[''],['']
92,Topics in Computer Science: Elements of Data Science: A First Course,"Methods in biomedical data science (i.e. translational bioinformatics) for graduate students and upperclassmen. Students study the statistical and computational algorithms to evaluate large biomedical data, including sequence analysis, application of supervised and unsupervised machine learning, graph theoretic models and network analysis, and chemical informatics. They study how to apply these algorithms to biomedical domains in non-human genetics, human genetics, pharmacology, and public health. Successful completion of the course readies the student for graduate level research in translational bioinformatics.",0.31956605966679585,"['unsupervised', 'machinelearning', 'supervised', 'algorithms']",[''],['']
77, Management of Big Data and Big Data Tools,"The course will discuss data management techniques for storing and analyzing very large amounts of data. The emphasis will be on columnar databases and on Map Reduce as a tool for creating parallel algorithms that can process very large amounts of data. Big Data applications, Columnar stores, distributed databases, Hadoop, Locality Sensitive Hashing (LSH), Dimensionality reduction, Data streams, unstructured data processing, NoSQL, and NewSQL.Ã¥Ã",0.3160312650043583,"['nosql', 'bigdata', 'algorithms', 'unstructured']",[''],['hadoop']
22,Discrete Mathematics and Algorithms,"Topics: Basic Algebraic Graph Theory, Matroids and Minimum Spanning Trees, Submodularity and Maximum Flow, NP-Hardness, Approximation Algorithms, Randomized Algorithms, The Probabilistic Method, and Spectral Sparsification using Effective Resistances. Topics will be illustrated with applications from Distributed Computing, Machine Learning, and large-scale Optimization. Prerequisites: CS 261 is highly recommended, although not required.Same as: MS&E 316",0.308175125920186,"['algorithms', 'machinelearning']",[''],['']
25,Randomized Algorithms and Probabilistic Analysis,"Randomness pervades the natural processes around us, from the formation of networks, to genetic recombination, to quantum physics. Randomness is also a powerful tool that can be leveraged to create algorithms and data structures which, in many cases, are more efficient and simpler than their deterministic counterparts. This course covers the key tools of probabilistic analysis, and application of these tools to understand the behaviors of random processes and algorithms. Emphasis is on theoretical foundations, though we will apply this theory broadly, discussing applications in machine learning and data analysis, networking, and systems. Topics include tail bounds, the probabilistic method, Markov chains, and martingales, with applications to analyzing random graphs, metric embeddings, random walks, and a host of powerful and elegant randomized algorithms. Prerequisites: CS 161 and STAT 116, or equivalents and instructor consent.Same as: CS 265",0.308175125920186,"['machinelearning', 'algorithms']",[''],['']
114, Residency one: Orientation,"Orientation at Houston CityCentre, Houston, TX1. Technology overview2. Introduction to teams3. Introduction to programming and logic4. Statistics refresher5. Tableau, JMP & SAS training6. Conflict management assessment7. Project Management: Student panel on capstone8. Program Overview",0.2844969051389089,"['statistics', 'programming']",['management'],"['tableau', 'sas']"
84,Algorithms for Data Science,"Methods for organizing data, e.g. hashing, trees, queues, lists, priority queues. Streaming algorithms for computing statistics on the data. Sorting and searching. Basic graph models and algorithms for searching, shortest paths, and matching. Dynamic programming. Linear and convex programming. Floating point arithmetic, stability of numerical algorithms, Eigenvalues, singular values, PCA, gradient descent, stochastic gradient descent, and block coordinate descent. Conjugate gradient, Newton and quasi-Newton methods. Large scale applications from signal processing, collaborative filtering, recommendations systems, etc.",0.2777993025958931,"['algorithms', 'statistics', 'descent', 'gradient', 'programming', 'linear']",[''],['']
49,Paradigms for Computing with Data,"Programming and computing techniques for the requirements of data science: acquisition and organization of data; visualization, modelling and inference for scientific applications; presentation and interactive communication of results. Emphasis on computing for substantial projects. Software development with emphasis on R, plus other key software tools. Prerequisites: Programming experience including familiarity with R; computing at least at the level of CS 106; statistics at the level of STATS 110 or 141.",0.2771039843544472,"['programming', 'statistics', 'visualization']",[''],['r']
107, Scalable Data Systems & Algorithms,"This course focuses on principles and algorithms for data management and analysis at scale. WeÂÃÂªll cover designs of and how to use traditional and modern big data systems, as well as the basics of cloud computing.",0.2591243703990701,"['cloud', 'bigdata', 'algorithms']",[''],['']
99,Topics in Modern Statistics: Applied Machine Learning for Financial Modeling and Forecasting,"The course focuses on translating technical expertise into work-place solutions by teaching students to: (1) identify relevant shortfalls inÃ¥Ã traditional processes; (2) precisely match datasets and machine learning features to overcome these shortfalls; (3) narrowly define value to fit work place processes, analytical framework, and bottom line.Ã¥Ã Each class will be structured as an actual end-to-end work-place project and use concrete examples to teach students to design, build and deliver solutionsÃ¥Ã that integrate these considerations. A combination of assignments, presentation, and research paper will be sued to evaluation students' progress in bridging technical and applied solutions with evaluation criteria matching those of a work-place project.",0.2576520728399845,"['machinelearning', 'structured']",[''],['']
118,Methods in Multivariate Analysis ,"This course introduces foundations of multivariate analysis including matrix algebra, random vectors, multivariate distributions, and statistical inference for multivariate data. It also introduces methods of machine learning including principal component analysis, discriminant analysis, clustering, and elements of factor analysis and canonical analysis.Topics covered:1. Graphical techniques2. Principal component analysis3. Cluster analysis4. Correspondence analysis and other ordination techniques5. Discriminant analysis6. Classification and prediction7. Factor analysis and SEM8. Inference on mean vectors9. Canonical correlation analysis",0.2430840759395583,"['machinelearning', 'clustering']",[''],['']
42,Machine Learning,"Topics: statistical pattern recognition, linear and non-linear regression, non-parametric methods, exponential family, GLMs, support vector machines, kernel methods, model/feature selection, learning theory, VC dimension, clustering, density estimation, EM, dimensionality reduction, ICA, PCA, reinforcement learning and adaptive control, Markov decision processes, approximate dynamic programming, and policy search. Prerequisites: linear algebra, and basic probability and statistics.Same as: STATS 229",0.23951956605966682,"['statistics', 'programming', 'clustering', 'regression', 'probability']",[''],['']
60,Supervised Learning I,"Introduction to supervised machine learning, with a focus on classification. K-NN, Decision trees, SVM, how to combine models via ensembling: boosting, bagging, random forests. Basic machine learning concepts such as generalization error and overfitting.",0.23634250290585043,"['svm', 'machinelearning', 'supervised']",[''],['']
83,Machine Learning for Data Science,"COMS 4721 is a graduate-level introduction to machine learning. The course covers basic statistical principles of supervised machine learning, as well as some common algorithmic paradigms. Additional topics, such as representation learning and online learning, may be covered if time permits.",0.23634250290585043,"['machinelearning', 'supervised']",[''],['']
93,Topics in Computer Science: Machine Learning Products for Data Science,"This class offers a hands-on approach to machine learning and data science. The class discusses the application of machine learning methods like SVMs, Random Forests, Gradient Boosting and neural networks on real world dataset, including data preparation, model selection and evaluation. This class complements COMS W4721 in that it relies entirely on available open source implementations in scikit-learn and tensor flow for all implementations. Apart from applying models, we will also discuss software development tools and practices relevant to productionizing machine learning models.",0.2303758233242929,"['machinelearning', 'randomforests']",[''],['']
13,Analytics for Big Data,"This course covers a variety of topics and tools in big data. Most of the topics are about the Hadoop ecosystem, however select databases outside of Hadoop will also be considered.",0.21831720068820176,['bigdata'],[''],['hadoop']
36,Parallel Computer Architecture and Programming,"The principles and tradeoffs in the design of parallel architectures. Emphasis is on naming, latency, bandwidth, and synchronization in parallel machines. Case studies on shared memory, message passing, data flow, and data parallel machines illustrate techniques. Architectural studies and lectures on techniques for programming parallel computers. Programming assignments on one or more commercial multiprocessors. Prerequisites: EE 282, and reasonable programming experience.",0.19682293684618365,"['programming', 'programming']",[''],['']
34,Parallel Methods in Numerical Analysis,"Emphasis is on techniques for obtaining maximum parallelism in numerical algorithms, especially those occurring when solving matrix problems, partial differential equations, and the subsequent mapping onto the computer. Implementation issues on parallel computers. Topics: parallel architecture, programming models (MPI, GPU Computing with CUDA Ã¥Ã quick review), matrix computations, FFT, fast multiple methods, domain decomposition, graph partitioning, discrete algorithms. Prerequisites: 302 or 200 (ME 300A), 213 or equivalent, or consent of instructor. Recommended: differential equations and knowledge of a high-level programming language such as C or C++ (F90/95 also allowable).",0.19161310296083028,"['algorithms', 'programming']",[''],"['c++', 'c']"
97,"Topics in Information Processing: Deep Learning for Computer Vision, Speech, and Language","With the advance of IT storage, processing, computation, and sensing technologies, Big Data has become a novel norm of life. Only until recently, computers are able to capture and analysis all sorts of large-scale data from all kinds of fields -- people, behavior, information, devices, sensors, biological signals, finance, vehicles, astronology, neurology, etc. Almost all industries are bracing into the challenge of Big Data and want to dig out valuable information to get insight to solve their challenges. This course shall provide the fundamental knowledge to equip students being able to handle those challenges. This discipline inherently involves many fields. Because of its importance and broad impact, new software and hardware tools and algorithms are quickly emerging. A data scientist needs to keep up with this ever changing trends to be able to create a state-of-the-art solution for real-world challenges.",0.1842696629213483,"['bigdata', 'algorithms']",[''],['']
40,Modern Statistics for Modern Biology,"Application based course in nonparametric statistics. Modern toolbox of visualization and statistical methods for the analysis of data, examples drawn from immunology, microbiology, cancer research and ecology. Methods covered include multivariate methods (PCA and extensions), sparse representations (trees, networks, contingency tables) as well as nonparametric testing (Bootstrap, permutation and Monte Carlo methods). Hands on, use R and cover many Bioconductor packages. Prerequisite: Minimal familiarity with computers. Instructor consent. Cross-listed as STATS 366.Same as: STATS 366",0.17869251593135538,"['visualization', 'statistics']",[''],['r']
32,"Introduction to parallel computing using MPI, openMP, and CUDA","This class will give hands on experience with programming multicore processors, graphics processing units (GPU), and parallel computers. Focus will be on the message passing interface (MPI, parallel clusters) and the compute unified device architecture (CUDA, GPU). Topics will include: network topologies, modeling communication times, collective communication operations, parallel efficiency, MPI, dense linear algebra using MPI. Symmetric multiprocessing (SMP), pthreads, openMP. CUDA, combining MPI and CUDA, dense linear algebra using CUDA, sort, reduce and scan using CUDA. Pre-requisites include: C programming language and numerical algorithms (solution of differential equations, linear algebra, Fourier transforms).Same as: ME 339",0.17635471804647876,"['algorithms', 'programming']",[''],['c']
23,Optimization,"Applications, theories, and algorithms for finite-dimensional linear and nonlinear optimization problems with continuous variables. Elements of convex analysis, first- and second-order optimality conditions, sensitivity and duality. Algorithms for unconstrained optimization, and linearly and nonlinearly constrained problems. Modern applications in communication, game theory, auction, and economics. Prerequisites: MATH 113, 115, or equivalent.Same as: MS&E 311",0.15559860519178612,"['algorithms', 'algorithms']",[''],['']
35,Parallel Computing,"This course is an introduction to parallelism and parallel programming. Most new computer architectures are parallel; programming these machines requires knowledge of the basic issues of and techniques for writing parallel software. Topics: varieties of parallelism in current hardware (e.g., fast networks, multicore, accelerators such as GPUs, vector instruction sets), importance of locality, implicit vs. explicit parallelism, shared vs. non-shared memory, synchronization mechanisms (locking, atomicity, transactions, barriers), and parallel programming models (threads, data parallel/streaming, MapReduce, Apache Spark, SPMD, message passing, SIMT, transactions, and nested parallelism). Significant parallel programming assignments will be given as homework. The course is open to students who have completed the introductory CS course sequence through 110 and have taken CS 143.",0.14346688802867696,['programming'],[''],"['mapreduce', 'spark']"
30,Modern Applied Statistics: Data Mining,"Two-part sequence. New techniques for predictive and descriptive learning using ideas that bridge gaps among statistics, computer science, and artificial intelligence. Emphasis is on statistical aspects of their application and integration with more standard statistical methodology. Predictive learning refers to estimating models from data with the goal of predicting future outcomes, in particular, regression and classification models. Descriptive learning is used to discover general patterns and relationships in data without a predictive goal, viewed from a statistical perspective as computer automated exploratory analysis of large complex data sets.",0.1242154203796978,"['regression', 'statistics']",[''],['']
28,Introduction to Statistical Modeling,"Review of univariate regression. Multiple regression. Geometry, subspaces, orthogonality, projections, normal equations, rank deficiency, estimable functions and Gauss-Markov theorem. Computation via QR decomposition, Gramm-Schmidt orthogonalization and the SVD. Interpreting coefficients, collinearity, graphical displays. Fits and the Hat matrix, leverage & influence, diagnostics, weighted least squares and resistance. Model selection, Cp/Aic and crossvalidation, stepwise, lasso. Basis expansions, splines. Multivariate normal distribution theory. ANOVA: Sources of measurements, fixed and random effects, randomization. Emphasis on problem sets involving substantive computations with data sets. Prerequisites: consent of instructor, 116, 200, applied statistics course, CS 106A, MATH 114. (NB: prior to 2016-17 the 305ABC series was numbered as 305, 306A and 306B).",0.1242154203796978,"['regression', 'statistics']",[''],['']
126,Adv. Prog. using SAS ,"This course focuses on SAS programming in the Data step, including modifying variables, formats, and loops; various procedures, including sort, means, tabulate, and freq; creating graphs; debugging; the SAS/SQL language; macros; and optimization. Prerequisite: STAT 608 The Optimization Section primarily focuses on formulating and solving mathematical optimization using the SAS OPTMODEL procedure, from reading data to interpreting output and creating data sets. The course covers applications of linear programming, integer and mixed integer programming, and non-linear programming. Students will understand and undertake case studies. At the conclusion of the course students will be knowledgeable about optimization methodology and the use of the advanced SAS optimization capabilities.Course topics:1. Loops, Variable Types, Dates, Functions, Formats.   Importing and Exporting data SAS/SQL2. Macro language 3. Graphing Data 4. Creating HTML, PDF, RTF, and Excel output 5. Advanced data step features: BY group processing,   indexing, arrays, multi-dimensional arrays, and more 6. optimization and PROC OPTMODEL 7. Arrays and Index Sets/LP Models 8. Formatted Output/Dual Variables 9. Control Flow, Operators, & Model Updates 10. Network Problems/ILP and MILP Models 11. Binary Variables/Separable NLP Models 12. General NLP Models/Local Search",0.12360219823452122,['programming'],[''],['sas']
12,Introduction to Data Management for Business Intelligence,"This course is a continuation of MSiA 490 (Introduction to Data Management) and will focus on exploring the management of a subset of the five VÂÃÂªs[1] Ã¥Ãof the big data, in the context of improving the decision-making capabilities in business intelligence. Specifically, the course will accentuate the Volume and Velocity (and, in an implicit manner, the other three VÂÃÂªs).",0.10647036032545525,['bigdata'],['management'],['']
104, Human-Centered Data Science,This course focuses on fundamental principles of data science and its human implications. WeÂÃÂªll cover data ethics; data privacy; differential privacy; algorithmic bias; legal frameworks and intellectual property; provenance and reproducibility; data curation and preservation; user experience design and usability testing for big data; ethics of crowdwork; data communication; and societal impacts of data science.,0.10647036032545525,['bigdata'],[''],['']
119,Marketing Engineering ,"This course will introduce students to a variety of datasets and teach them (hands on usage of) SAS to implement various quantitative techniques. This is an applied course that involves extensive use of data and PC-based analysis using JMP/SAS, a popular statistical software. The course will cover a number of quantitative analyses, explanatory and predictive models pertinent to marketing, such as customer segmentation, customer choice models, customer lifetime value, conjoint models, and market response models.Course Goals Understand how the ÂÃÃfirst principlesÂÃÂ of marketing strategy helps firms organize the analytics opportunity and challenge in todayÂÃÂªs data era, and use and execute data analytic techniques, and case studies to understand how to solve marketing analytics problems in a scientific and process-driven manner. Using statistical software to estimate various marketing models. Apply your learning through real database/marketing engineering cases and data.Topics covered:1. 4 Marketing Analytics Principles2. JMP Orientation3. Segmentation Concept Demo and Case4. Targeting Concept5. Choice Models Demo and Case6. Customer Lifetime Value7. Conjoint Concept Demo and Case8. Satisfaction Analytics Concept and Case 9. Response Models Concept and CaseIn MKTG 625, students undertake a several case studies focused on ÂÃÂ¢ Retail site location decisionsÂÃÂ¢ B2B segmentation in healthcareÂÃÂ¢ Customer acquisition in B2B, retailing and  technology productsÂÃÂ¢ Customer lifetime value in the hospitality businessÂÃÂ¢ New product development in technology, and  industrial manufacturingÂÃÂ¢ Satisfaction profit chains in the energy sectorÂÃÂ¢ Market response models in the media industry",0.10608960621592377,['database'],[''],['sas']
37,Advanced Multi-Core Systems,"In-depth coverage of the architectural techniques used in modern, multi-core chips for mobile and server systems. Advanced processor design techniques (superscalar cores, VLIW cores, multi-threaded cores, energy-efficient cores), cache coherence, memory consistency, vector processors, graphics processors, heterogeneous processors, and hardware support for security and parallel programming. Students will become familiar with complex trade-offs between performance-power-complexity and hardware-software interactions. A central part of CS316 is a project on an open research question on multi-core technologies. Prerequisites: EE 180 (formerly 108B) and EE 282. Recommended: CS 149.",0.09841146842309183,['programming'],[''],['']
82,Computer Systems for Data Science,"An introduction to computer architecture and distributed systems with an emphasis on warehouse scale computing systems. Topics will include fundamental tradeoffs in computer systems, hardware and software techniques for exploiting instruction-level parallelism, data-level parallelism and task level parallelism, scheduling, caching, prefetching, network and memory architecture, latency and throughput optimizations, specialization, and an introduction to programming data center computers.",0.09841146842309183,['programming'],[''],['']
7,Introduction to Databases & Information Retrieval,"The main goal of this course is to expose the students to the fundamentals of the Data Management and Database Systems in general and, more specifically, to Database Design and Querying, providing a balance between the breadth and the depth.",0.08089887640449438,['database'],['management'],['']
61,Databases and Data Retrieval,"How to work with data stored in relational database systems or in formats utilizing markup languages. Storage structures and schemas, data relationships, and ways to query and aggregate such data.",0.08089887640449438,['database'],[''],['']
105, Data Management for Data Science,This course introduces students to database management systems and techniques that use these systems. Topics covered include data models; query languages; database tuning and optimization; data warehousing; and parallel processing.,0.08089887640449438,['database'],[''],['']
56,Algorithms and Data Structures,"How to choose and use appropriate algorithms and data structures to help solve data science problems. Key concepts such as recursion and algorithmic complexity (e.g., efficiency, scalability).",0.07779930259589306,['algorithms'],[''],['']
48,Human Neuroimaging Methods,"This course introduces the student to human neuroimaging using magnetic resonance scanners. The course is a mixture of lectures and hands-on software tutorials. The course begins by introducing basic MR principles. Then various MR measurement modalities are described, including several types of structural and functional imaging methods. Finally algorithms for analyzing and visualizing the various types of neuroimaging data are explained, including anatomical images, functional data, diffusion imaging (e.g., DTI) and magnetization transfer. Emphasis is on explaining software methods used for interpreting these types of data.",0.07779930259589306,['algorithms'],[''],['']
